Megye,Népesség,Város,Címere,Zászlója
Bács-Kiskun,494563,Kecskemét,./cimerek/Bacs-kiskun_C.svg,./zaszlok/Bács-Kiskun_Z.svg
Baranya,355315,Pécs,./cimerek/Baranya_C.jpg,./zaszlok/Baranya_Z.svg
Békés,314380,Békéscsaba,./cimerek/Békés_C.svg,./zaszlok/Békés_Z.svg
Borsod-Abaúj-Zemplén,624219,Miskolc,./cimerek/Borsod-Abaúj-Zemplén_C.svg,./zaszlok/Borsod-Abaúj-Zemplén_Z.svg
Csongrád,391207,Szeged,./cimerek/Csongrád_C.svg,./zaszlok/Csongrad-Csanad_Z.svg
Fejér,419565,Székesfehérvár,./cimerek/Fejér_C.svg,./zaszlok/Fejér_Z.svg
Győr-Moson-Sopron,471309,Győr,./cimerek/Győr-Moson-Sopron_C.jpg,./zaszlok/Gyor-Moson-Sopron_Z.svg
Hajdú-Bihar,520656,Debrecen,./cimerek/Hajdú-Bihar_C.svg,./zaszlok/Hajdú-Bihar_Z.svg
Heves,287533,Eger,./cimerek/Heves_C.svg,./zaszlok/Heves_Z.svg
Jász-Nagykun-Szolnok,356388,Szolnok,./cimerek/Jász-Nagykun-Szolnok_C.jpg,./zaszlok/Jasz-Nagykun-Szolnok_Z.svg
Komárom-Esztergom,301492,Tatabánya,./cimerek/Komárom-Esztergom_C.jpg,./zaszlok/Komárom-Esztergom_Z.svg
Nógrád,182038,Salgótarján,./cimerek/Nógrád_C.svg,./zaszlok/Nograd_Z.svg
Pest,1328790,Budapest,./cimerek/Pest_C.svg,./zaszlok/Pest_Z.svg
Somogy,295316,Kaposvár,./cimerek/Somogy_C.svg,./zaszlok/Somogy_Z.svg
Szabolcs-Szatmár-Bereg,527968,Nyíregyháza,./cimerek/Szabolcs-Szatmár-Bereg_C.svg,./zaszlok/Szabolcs-Szatmar-Bereg_Z.svg
Tolna,208044,Szekszárd,./cimerek/Tolna_C.jpg,./zaszlok/Tolna_Z.svg
Vas,249812,Szombathely,./cimerek/Vas_C.jpg,./zaszlok/Vas_Z.svg
Veszprém,338342,Veszprém,./cimerek/Veszprém_C.svg,./zaszlok/Veszprém_Z.svg
Zala,261803,Zalaegerszeg,./cimerek/Zala_C.svg,./zaszlok/Zala_Z.svg
